frame id	detection id	hamming distance	distance	x	y	z	yaw	pitch	roll
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
97	100	0	4.25912	4.11992	0.741042	0.785655	0.00165963	-0.0793909	0.140336
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
98	100	0	4.23712	4.09722	0.738416	0.787843	-0.000837326	-0.0385896	0.11924
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
99	100	0	4.26309	4.12077	0.744576	0.799238	0.00437816	-0.0688177	0.192532
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
100	100	0	4.25262	4.10902	0.744179	0.804284	0.00720004	-0.0801746	0.103229
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
101	100	0	4.26604	4.1203	0.747732	0.81431	0.0143623	-0.0827521	0.0814516
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
102	100	0	4.26596	4.11862	0.748279	0.821892	0.0602888	-0.277762	0.280578
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
103	100	0	4.27974	4.13028	0.751618	0.83188	0.0344421	-0.18527	0.140413
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
104	100	0	4.27323	4.12228	0.751334	0.838308	0.0319195	-0.112752	0.079352
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
105	100	0	4.27166	4.11925	0.751619	0.844931	0.0363458	-0.146942	0.0770367
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
106	100	0	4.27374	4.11976	0.752111	0.85254	0.0327275	-0.125604	0.0740533
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
107	100	0	4.28284	4.12727	0.75367	0.860401	0.038427	-0.161701	0.107728
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
108	100	0	4.28007	4.12342	0.753069	0.865644	0.0378418	-0.141901	0.0941236
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
109	100	0	4.27989	4.12227	0.752909	0.870289	0.0364746	-0.123683	0.0654134
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
110	100	0	4.2857	4.12724	0.753308	0.874993	0.0463097	-0.166654	0.0770012
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
111	100	0	4.26906	4.11068	0.749992	0.874447	0.0384868	-0.090824	0.0384771
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
112	100	0	4.27015	4.11175	0.749074	0.875552	0.0743962	-0.246917	0.393821
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
113	100	0	4.27805	4.1191	0.749965	0.878753	0.0482493	-0.15543	0.0591305
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
114	100	1	4.26686	4.10893	0.745242	0.875996	0.00515979	0.0474441	0.395202
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
115	100	0	4.2747	4.11659	0.747085	0.8767	0.0705733	-0.231933	0.386738
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
116	100	0	4.28875	4.13059	0.748137	0.878548	0.0665783	-0.215494	0.360386
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
117	100	0	4.29327	4.13564	0.747877	0.877096	0.0545457	-0.193789	0.346838
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
118	100	0	4.28386	4.1272	0.745226	0.873109	0.0371886	-0.0956092	0.0556729
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
119	100	0	4.30678	4.15037	0.747881	0.87379	0.0417569	-0.144932	0.082636
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
120	100	0	4.30105	4.14586	0.74591	0.86863	0.0390347	-0.149683	0.0795345
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
121	100	0	4.30073	4.14667	0.744858	0.864037	0.0384728	-0.149602	0.0837912
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
122	100	0	4.29808	4.1453	0.743195	0.858867	0.0410061	-0.174177	0.0831639
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
123	100	1	4.2558	4.10584	0.733923	0.845703	-0.0050844	0.0330423	-0.00656995
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
124	100	1	4.26346	4.11439	0.735573	0.841331	0.0192915	-0.103427	0.0229209
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
125	100	1	4.30445	4.1554	0.741095	0.843606	0.0255914	-0.152447	0.0857247
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
126	100	0	4.31753	4.16933	0.741881	0.841012	0.0382608	-0.236898	0.0923215
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
132	100	1	4.27515	4.13318	0.733867	0.809396	0.0354892	-0.128934	0.0226617
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
133	100	1	4.2672	4.12591	0.732606	0.805721	0.04295	-0.127969	0.0170304
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
134	100	1	4.26583	4.12486	0.732446	0.803973	0.0473641	-0.111771	0.012096
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
135	100	1	4.26631	4.12542	0.732862	0.803293	0.0579885	-0.122151	0.0222775
