frameId	detectionId	distance	projX	projY	projZ
13986	300	6.404408663031663	6.362868978866166	0.3763243974771853	0.6234810572592121
13987	300	6.401625771777617	6.360751459933437	0.3650860645266581	0.6231898204644248
13988	300	6.410493974423934	6.370039737671993	0.3562585967418024	0.6245851013696052
13989	300	6.404263821260548	6.364501762574352	0.3443774144373539	0.6237921151474757
13990	300	6.416513236317092	6.377082623948816	0.33611238761608964	0.6256898449340039
13991	300	6.407529773335897	6.3688085890328505	0.323773403077555	0.6244083086466201
13992	300	6.414831417038531	6.376552102056492	0.31383109599639913	0.6254242096123312
13993	300	6.429435782484178	6.391470644742961	0.3050262067212329	0.6274603506917267
13994	300	6.417034400783467	6.3797939653256845	0.29193080169009866	0.6255684357901938
13995	300	6.408861745709347	6.372279535224893	0.27942391086368223	0.6240870761426632
13996	300	6.411839103676527	6.375741893079683	0.2683409707461526	0.6241707520247691
13997	300	6.417395185298834	6.3817491273313705	0.2574503539893092	0.6244664565312849
13998	300	6.41191523991878	6.376872393812497	0.245086174150166	0.6229673219160361
13999	300	6.415203053308297	6.380637244381674	0.2337734853879509	0.6226142692832402
14000	300	6.401635760314307	6.367756870025928	0.22023957765699145	0.6197639715295049
14001	300	6.400240758845738	6.3668688268260505	0.2081857799644733	0.6186451278411192
14002	300	6.3925957735231504	6.359804226629034	0.1952813146296135	0.6164707055278777
14003	300	6.389927545308048	6.357612298402338	0.1829973071397778	0.6151844301260175
14004	300	6.385411758334024	6.35358444167713	0.17033022132866615	0.6135435450323289
14005	300	6.374807918663505	6.343501710363988	0.15676298872610728	0.6112179773450509
14006	300	6.379800809504238	6.3487860152754285	0.14466944957839034	0.6114288605821473
14007	300	6.371572753704245	6.34097416508422	0.13092712503008094	0.6097901945850921
14008	300	6.373519812614262	6.343167866220263	0.11821473775130252	0.6099192557344052
14009	300	6.381720468702768	6.351498162743867	0.10601700225213673	0.6112181480900577
14010	300	6.367805052672553	6.337918680703776	0.09164889311066783	0.6093672669415214
14011	300	6.363984246586308	6.3342765677531085	0.07842318785648539	0.6091680044281861
14012	300	6.362261336097894	6.332671926146518	0.0657254186924151	0.6093568362951296
14013	300	6.365443398471495	6.335890406798015	0.053825576675792464	0.6102992868132316
14014	300	6.367704847772468	6.338164294374838	0.042019341731762035	0.6112060051875566
14015	300	6.369160874410603	6.3396237234696295	0.03027804503786524	0.6119350692128881
14016	300	6.371187470847388	6.341619366099898	0.01910512487176319	0.612803882488595
14017	300	6.376191917799442	6.3465438318542	0.008537417220672083	0.6141106378101027
14018	300	6.378305522176622	6.348596653654317	-0.0018661406403706613	0.6148970490717305
14019	300	6.3827355826938135	6.3529203485638845	-0.01128318277391577	0.6161081505508288
14020	300	6.3887475927294775	6.358786438145313	-0.020565616857635197	0.6176632521602586
14021	300	6.396601596148704	6.36646376513017	-0.02919901220274845	0.6195147494798611
14022	300	6.403154172865148	6.3728362169221375	-0.037696672119180714	0.6212253010599491
14023	300	6.410356325705617	6.379851317511586	-0.04599004164104042	0.6229368387160525
14024	300	6.414498522777035	6.383847192100804	-0.05417359122057869	0.6239804072482642
14025	300	6.417621818079042	6.386846966731252	-0.0623389723706938	0.6246354744679105
14026	300	6.4239323346598445	6.393030824441918	-0.07022539507490723	0.6254053980502191
14027	300	6.424101536032019	6.393148265119172	-0.07845348585685019	0.6249646838098769
14028	300	6.430330528776338	6.399316545682975	-0.08594028521581315	0.6249101734154336
14029	300	6.433636847704319	6.4026138020385845	-0.09315411827296788	0.6241329188021996
14030	300	6.425276096191747	6.394394939688742	-0.10084428215707077	0.621060945747107
14031	300	6.420937833099246	6.390195444908207	-0.10791719688327768	0.6182222181517848
14032	300	6.4280913511364295	6.397419081702036	-0.11377953100314805	0.6167995865387113
14033	300	6.418895978374202	6.388451739852225	-0.12033762610089947	0.6127224530829538
